surface,reading,source_ref,commonness_tier
昼ご飯,ひるごはん,wnja:07575076-n,basic
晩ご飯,ばんごはん,wnja:07575726-n,basic
月曜日,げつようび,wnja:15163979-n,basic
朝ご飯,あさごはん,wnja:07574602-n,basic
木曜日,もくようび,wnja:15164354-n,basic
気持ち,きもち,wnja:00026192-n,basic
水曜日,すいようび,wnja:15164233-n,basic
火曜日,かようび,wnja:15164105-n,basic
男の子,おとこのこ,wnja:09637837-n,basic
真ん中,まんなか,wnja:00725506-n,basic
終わり,おわり,wnja:00209943-n,basic
自動車,じどうしゃ,wnja:02958343-n,basic
誕生日,たんじょうび,wnja:15250178-n,basic
買い物,かいもの,wnja:00081836-n,basic
郵便局,ゆうびんきょく,wnja:08145553-n,basic
金曜日,きんようび,wnja:15164463-n,basic
食べ物,たべもの,wnja:07555863-n,basic
飲み物,のみもの,wnja:07881800-n,basic
髪の毛,かみのけ,wnja:01900150-n,basic
お姉さん,おねえさん,wnja:10129825-n,basic
お手洗い,おてあらい,wnja:04446276-n,basic
お母さん,おかあさん,wnja:01323493-n,basic
お父さん,おとうさん,wnja:10080869-n,basic
アフリカ,あふりか,wnja:09189411-n,basic
アメリカ,あめりか,wnja:09044862-n,basic
オレンジ,おれんじ,wnja:04965179-n,basic
デザート,でざーと,wnja:07609840-n,basic
赤ちゃん,あかちゃん,wnja:01322221-n,basic
レストラン,れすとらん,wnja:04081281-n,basic
あさって,あさって,tkg:00828_asatte,basic
一度,いちど,tkg:01312_ichido,basic
おじいさん,おじいさん,tkg:02860_ojiisan,basic
おととい,おととい,tkg:00877_ototoi,basic
お兄さん,おにいさん,tkg:02858_oniisan,basic
おば,おば,tkg:00978_oba,basic
おばあさん,おばあさん,tkg:02863_obaasan,basic
片仮名,かたかな,tkg:02866_katakana,basic
去年,きょねん,tkg:00727_kyonen,basic
今朝,けさ,tkg:02877_kesa,basic
高校生,こうこうせい,tkg:01580_koukousei,basic
今年,ことし,tkg:00722_kotoshi,basic
今回,こんかい,tkg:01409_konkai,basic
今月,こんげつ,tkg:00720_kongetsu,basic
今週,こんしゅう,tkg:00721_konshuu,basic
今度,こんど,tkg:01327_kondo,basic
醤油,しょうゆ,tkg:01056_shouyu,basic
先月,せんげつ,tkg:00751_sengetsu,basic
先週,せんしゅう,tkg:00752_senshuu,basic
次,つぎ,tkg:00819_tsugi,basic
隣,となり,tkg:01003_tonari,basic
一人,ひとり,tkg:00630_hitori,basic
平仮名,ひらがな,tkg:02949_hiragana,basic
毎朝,まいあさ,tkg:00966_maiasa,basic
毎週,まいしゅう,tkg:00730_maishuu,basic
毎月,まいつき,tkg:00732_maitsuki,basic
毎年,まいとし,tkg:00731_maitoshi,basic
毎日,まいにち,tkg:00729_mainichi,basic
